Nombre,N1,N2,N3,N4,Total,Puntaje
LordKanino19,,,,,35,53
Vainilla,,,,,11,14
R P D,,,,,9,24
Jocs4,3.0,2.0,0.0,0.0,5,11
Juan D98,,,,,7,88
61JC,5.0,1.0,0.0,0.0,6,9
Arkeus11,0.0,0.0,0.0,0.0,0,0
El Otaku 01,8.0,0.0,0.0,0.0,8,8
Dark Falkor,6.0,1.0,0.0,0.0,7,10
deathiro,0.0,0.0,1.0,0.0,1,16
Duque Puf,,,,,6,6
Conde Puf,0.0,0.0,0.0,0.0,0,0
Marques Puf,0.0,0.0,0.0,0.0,0,0
El Templari0,8.0,0.0,0.0,0.0,8,8
FoodFarmer12,0.0,0.0,0.0,0.0,0,0
HaRaKirY,0.0,0.0,0.0,0.0,0,0
hirowiro,0.0,0.0,0.0,0.0,0,0
HusKerss,,,,,6,30
Joselito170,,,,,14,14
L O N E Y 5,0.0,0.0,0.0,0.0,0,0
MoRRiGaNC,0.0,4.0,2.0,0.0,6,48
Nathy7,,,,,10,10
ErrePeDe II,1.0,0.0,0.0,0.0,1,1
srce1,1.0,0.0,0.0,0.0,1,1
theriver2007,,,,,17,20
Vil Mentira,0.0,0.0,0.0,0.0,0,0
Un Weon XD,,,,,10,19
RataD2Patas,0.0,0.0,0.0,0.0,0,0
wirito,0.0,1.0,0.0,0.0,1,4
001padre,0.0,0.0,0.0,0.0,0,0
el poro 123,,,,,6,21
KingAlexx27,10.0,1.0,0.0,0.0,11,14
Leandro2505,0.0,0.0,0.0,0.0,0,0
leito ortiz,,,,,6,6
leonardo02,,,,,3,6
melonidas 1,9.0,0.0,0.0,0.0,9,9
MiguelDH,0.0,0.0,0.0,0.0,0,0
WOLFBYCK9812,2.0,0.0,0.0,0.0,2,2
001padre2,0.0,0.0,0.0,0.0,0,0
ADADI,2.0,0.0,0.0,0.0,2,2
Anabell 21,2.0,2.0,0.0,0.0,4,10
auxiliar 1,6.0,0.0,0.0,0.0,6,6
Eraclium,6.0,0.0,0.0,0.0,6,6
Freya2111,0.0,0.0,0.0,0.0,0,0
GadrielS,5.0,0.0,0.0,0.0,5,5
GalaicusGZ,,,,,7,22
Goku 32,,,,,3,3
Hogan bob,,,,,4,4
Imp0st0r 882,,,,,3,12
jungle 01,1.0,0.0,0.0,0.0,1,1
Jvillafuerte,4.0,0.0,0.0,0.0,4,4
kim jennie06,0.0,0.0,0.0,0.0,0,0
LOBO SERVERO,,,,,4,7
lord dan49,0.0,0.0,0.0,0.0,0,0
LordSerged,0.0,0.0,0.0,0.0,0,0
MaRk 25,0.0,0.0,0.0,0.0,0,0
Mmark,5.0,0.0,0.0,0.0,5,5
SoloGozalo,0.0,0.0,0.0,0.0,0,0
vaspin,4.0,1.0,0.0,0.0,5,8
Chuki 03,,,,,6,6
J Vip,4.0,1.0,0.0,0.0,5,8
Annderszonn,0.0,0.0,0.0,0.0,0,0
MONSTER 100k,0.0,0.0,0.0,0.0,0,0
Goku | Ultra,0.0,0.0,0.0,0.0,0,0
adolfo22,0.0,0.0,0.0,0.0,0,0
