Nombre,N1,N2,N3,N4,Total,Puntaje
LordKanino19,,,,,22,94
Vainilla,,,,,29,47
R P D,,,,,14,125
Jocs4,2.0,2.0,0.0,0.0,4,10
Juan D98,1.0,1.0,0.0,2.0,4,133
61JC,7.0,1.0,0.0,0.0,8,11
Arkeus11,14.0,0.0,0.0,0.0,14,14
Dark Falkor,8.0,0.0,0.0,0.0,8,8
deathiro,0.0,2.0,0.0,0.0,2,8
Duque Puf,5.0,0.0,0.0,0.0,5,5
Conde Puf,0.0,0.0,0.0,0.0,0,0
Marques Puf,0.0,0.0,0.0,0.0,0,0
El Templari0,10.0,0.0,0.0,0.0,10,10
FoodFarmer12,0.0,0.0,0.0,0.0,0,0
HaRaKirY,0.0,0.0,0.0,0.0,0,0
hirowiro,0.0,2.0,0.0,0.0,2,8
HusKerss,,,,,14,59
Joselito170,6.0,0.0,0.0,0.0,6,6
L O N E Y 5,0.0,0.0,0.0,0.0,0,0
MoRRiGaNC,1.0,6.0,2.0,0.0,9,57
Nathy7,6.0,0.0,0.0,0.0,6,6
ErrePeDe II,0.0,0.0,0.0,0.0,0,0
srce1,3.0,0.0,0.0,0.0,3,3
theriver2007,,,,,21,24
Vil Mentira,0.0,0.0,0.0,0.0,0,0
Un Weon XD,2.0,4.0,1.0,0.0,7,34
RataD2Patas,0.0,0.0,0.0,0.0,0,0
wirito,0.0,0.0,0.0,0.0,0,0
001padre,0.0,1.0,0.0,0.0,1,4
el poro 123,4.0,0.0,0.0,0.0,4,4
KingAlexx27,,,,,13,16
Leandro2505,0.0,0.0,0.0,0.0,0,0
leito ortiz,4.0,1.0,0.0,0.0,5,8
leonardo02,3.0,0.0,0.0,0.0,3,3
melonidas 1,6.0,0.0,0.0,0.0,6,6
MiguelDH,1.0,0.0,0.0,0.0,1,1
WOLFBYCK9812,4.0,0.0,0.0,0.0,4,4
001padre2,2.0,0.0,0.0,0.0,2,2
ADADI,2.0,0.0,0.0,0.0,2,2
Anabell 21,6.0,2.0,0.0,0.0,8,14
auxiliar 1,4.0,0.0,0.0,0.0,4,4
Eraclium,,,,,8,11
Freya2111,2.0,0.0,0.0,0.0,2,2
GadrielS,5.0,0.0,0.0,0.0,5,5
GalaicusGZ,,,,,6,6
Goku 32,,,,,6,6
Hogan bob,,,,,4,4
Imp0st0r 882,3.0,3.0,0.0,0.0,6,15
jungle 01,0.0,0.0,0.0,0.0,0,0
Jvillafuerte,6.0,2.0,0.0,0.0,8,14
kim jennie06,0.0,0.0,0.0,0.0,0,0
LOBO SERVERO,0.0,2.0,0.0,0.0,2,8
lord dan49,0.0,0.0,0.0,0.0,0,0
LordSerged,9.0,0.0,0.0,0.0,9,9
MaRk 25,1.0,0.0,0.0,0.0,1,1
Mmark,1.0,0.0,0.0,0.0,1,1
SoloGozalo,1.0,0.0,0.0,0.0,1,1
vaspin,10.0,0.0,0.0,0.0,10,10
Chuki 03,4.0,0.0,0.0,0.0,4,4
J Vip,,,,,4,10
WELL J,0.0,0.0,0.0,0.0,0,0
