Nombre,N1,N2,N3,N4,Total,Puntaje
LordKanino19,4.0,6.0,0.0,0.0,10,28
Vainilla,3.0,0.0,1.0,0.0,4,19
R P D,1.0,2.0,0.0,0.0,3,9
Jocs4,0.0,2.0,0.0,0.0,2,8
Juan D98,0.0,0.0,0.0,0.0,0,0
61JC,3.0,0.0,0.0,0.0,3,3
Arkeus11,0.0,0.0,0.0,0.0,0,0
El Otaku 01,0.0,0.0,0.0,0.0,0,0
Dark Falkor,3.0,0.0,0.0,0.0,3,3
deathiro,0.0,1.0,1.0,0.0,2,20
Duque Puf,4.0,0.0,0.0,0.0,4,4
Conde Puf,0.0,0.0,0.0,0.0,0,0
Marques Puf,0.0,0.0,0.0,0.0,0,0
El Templari0,8.0,0.0,0.0,0.0,8,8
FoodFarmer12,0.0,0.0,0.0,0.0,0,0
HaRaKirY,0.0,0.0,0.0,0.0,0,0
hirowiro,0.0,1.0,0.0,0.0,1,4
HusKerss,0.0,0.0,0.0,0.0,0,0
FARAON 27,3.0,1.0,0.0,0.0,4,7
Joselito170,3.0,0.0,0.0,0.0,3,3
L O N E Y 5,0.0,0.0,0.0,0.0,0,0
MoRRiGaNC,0.0,0.0,0.0,0.0,0,0
Nathy7,6.0,0.0,0.0,0.0,6,6
ErrePeDe II,0.0,0.0,0.0,0.0,0,0
srce1,1.0,1.0,0.0,0.0,2,5
theriver2007,17.0,0.0,0.0,0.0,17,17
Vil Mentira,1.0,5.0,0.0,0.0,6,21
Un Weon XD,0.0,0.0,0.0,0.0,0,0
RataD2Patas,0.0,0.0,0.0,0.0,0,0
wirito,0.0,0.0,0.0,0.0,0,0
001padre,6.0,4.0,1.0,1.0,12,102
el poro 123,4.0,0.0,0.0,0.0,4,4
KingAlexx27,0.0,0.0,0.0,0.0,0,0
Leandro2505,0.0,0.0,0.0,0.0,0,0
leito ortiz,1.0,0.0,0.0,0.0,1,1
leonardo02,3.0,0.0,0.0,0.0,3,3
Melonidas 1,5.0,0.0,0.0,0.0,5,5
MiguelDH,1.0,0.0,0.0,0.0,1,1
WOLFBYCK9812,2.0,0.0,0.0,0.0,2,2
001padre2,0.0,0.0,0.0,0.0,0,0
ADADI,2.0,0.0,0.0,0.0,2,2
Anabell 21,0.0,0.0,0.0,0.0,0,0
auxiliar 1,0.0,0.0,0.0,0.0,0,0
Eraclium,0.0,0.0,0.0,0.0,0,0
Freya2111,0.0,0.0,0.0,0.0,0,0
GadrielS,1.0,0.0,0.0,0.0,1,1
GalaicusGZ,0.0,0.0,0.0,0.0,0,0
Goku 32,0.0,0.0,0.0,0.0,0,0
Hogan bob,0.0,0.0,0.0,0.0,0,0
Imp0st0r 882,0.0,0.0,0.0,0.0,0,0
jungle 01,1.0,0.0,0.0,0.0,1,1
Jvillafuerte,0.0,0.0,0.0,0.0,0,0
kim jennie06,0.0,0.0,0.0,0.0,0,0
LOBO SERVERO,0.0,0.0,0.0,0.0,0,0
lord dan49,0.0,0.0,0.0,0.0,0,0
LordSerged,0.0,0.0,0.0,0.0,0,0
MaRk 25,0.0,0.0,0.0,0.0,0,0
Mmark,0.0,0.0,0.0,0.0,0,0
SoloGozalo,1.0,0.0,0.0,0.0,1,1
vaspin,0.0,0.0,0.0,0.0,0,0
Chuki 03,0.0,0.0,0.0,0.0,0,0
JVip 1,,,,,9,9
JVip 2,1.0,0.0,0.0,0.0,1,1
JVip 3,0.0,0.0,0.0,0.0,0,0
Annderszonn,0.0,0.0,0.0,0.0,0,0
MONSTER 100k,1.0,0.0,0.0,0.0,1,1
Goku | Ultra,0.0,0.0,0.0,0.0,0,0
adolfo22,0.0,0.0,0.0,0.0,0,0
66 quetoi 66,0.0,0.0,0.0,0.0,0,0
66quetoi66,0.0,0.0,0.0,0.0,0,0
agus alaimo,0.0,0.0,0.0,0.0,0,0
Asap Priya,0.0,0.0,0.0,0.0,0,0
1Tom Holland,0.0,0.0,0.0,0.0,0,0
2Tio ben,0.0,0.0,0.0,0.0,0,0
G HOST R1DER,0.0,3.0,0.0,0.0,3,12
mau mau 02,2.0,0.0,0.0,0.0,2,2
Thong dubai,0.0,0.0,0.0,0.0,0,0
cris SL,1.0,0.0,0.0,0.0,1,1
61odin,1.0,0.0,0.0,0.0,1,1
66que toi,2.0,0.0,0.0,0.0,2,2
DirEnGrey69,0.0,0.0,0.0,0.0,0,0
HAESP4RTANOS,0.0,0.0,0.0,0.0,0,0
Hijo de Cain,0.0,1.0,0.0,0.0,1,4
Jalejo,0.0,0.0,0.0,0.0,0,0
JVip 1,,,,,9,9
JVip 2,1.0,0.0,0.0,0.0,1,1
JVip 3,0.0,0.0,0.0,0.0,0,0
12Leviatan94,1.0,0.0,0.0,0.0,1,1
Ako Tamaki,0.0,0.0,0.0,0.0,0,0
Ghost Fight5,0.0,0.0,0.0,0.0,0,0
Gogeta29,0.0,0.0,0.0,0.0,0,0
Goku 29,0.0,0.0,0.0,0.0,0,0
Hannabi9,0.0,0.0,0.0,0.0,0,0
huybao dubai,0.0,0.0,0.0,0.0,0,0
isi Predator,0.0,0.0,0.0,0.0,0,0
Itachi29,0.0,0.0,0.0,0.0,0,0
KING HATIM,0.0,0.0,0.0,0.0,0,0
LH FurryXia,0.0,0.0,0.0,0.0,0,0
lord lemang,0.0,0.0,0.0,0.0,0,0
Ma Ru Ch An,0.0,0.0,0.0,0.0,0,0
MarisolXD123,2.0,0.0,0.0,0.0,2,2
duc ro,0.0,0.0,0.0,0.0,0,0
Nephilim95,1.0,2.0,0.0,0.0,3,9
O N I R I A,0.0,0.0,0.0,0.0,0,0
POTTER31,3.0,0.0,0.0,0.0,3,3
MilesMorales,0.0,0.0,0.0,0.0,0,0
Realismailuh,0.0,0.0,0.0,0.0,0,0
salvador8i,1.0,2.0,0.0,0.0,3,9
sheriffking,1.0,0.0,0.0,0.0,1,1
Stone Farm,0.0,0.0,0.0,0.0,0,0
thongdubai2,4.0,0.0,0.0,0.0,4,4
Usman safdar,0.0,0.0,0.0,0.0,0,0
Wendy 29,0.0,0.0,0.0,0.0,0,0
