Nombre,N1,N2,N3,N4,Total,Puntaje
LordKanino19,12,6,1,0,19,52
Vainilla,0,0,0,0,0,0
R P D,0,1,2,2,5,164
Jocs4,0,4,0,0,4,16
Juan D98,0,0,0,0,0,0
61JC,4,3,0,0,7,16
Arkeus11,0,0,0,0,0,0
El Otaku 01,2,1,0,0,3,6
Dark Falkor,0,2,0,0,2,8
deathiro,0,0,1,0,1,16
Duque Puf,6,0,0,0,6,6
Conde Puf,0,0,0,0,0,0
Marques Puf,0,0,0,0,0,0
El Templari0,14,0,0,0,14,14
FoodFarmer12,0,0,0,0,0,0
HaRaKirY,0,0,0,0,0,0
hirowiro,0,0,0,0,0,0
HusKerss,0,0,0,0,0,0
FARAON 27,14,0,0,0,14,14
Joselito170,11,0,0,0,11,11
L O N E Y 5,0,0,0,0,0,0
MoRRiGaNC,0,1,0,0,1,4
Nathy7,8,0,0,0,8,8
ErrePeDe II,0,0,0,0,0,0
srce1,5,0,0,0,5,5
theriver2007,16,0,0,0,16,16
Vil Mentira,16,3,0,0,19,28
Un Weon XD,0,0,0,0,0,0
RataD2Patas,0,0,0,0,0,0
wirito,0,0,0,0,0,0
001padre,5,1,0,1,7,73
el poro 123,6,0,0,0,6,6
KingAlexx27,1,0,0,0,1,1
Leandro2505,0,0,0,0,0,0
leito ortiz,3,1,0,0,4,7
leonardo02,1,1,0,0,2,5
Melonidas 1,14,0,0,0,14,14
MiguelDH,3,0,0,0,3,3
WOLFBYCK9812,2,0,0,0,2,2
001padre2,1,0,0,0,1,1
ADADI,2,0,0,0,2,2
Anabell 21,0,0,0,0,0,0
auxiliar 1,0,0,0,0,0,0
Eraclium,0,2,0,1,3,72
Freya2111,2,0,0,0,2,2
GadrielS,2,0,0,0,2,2
GalaicusGZ,0,0,0,0,0,0
Goku 32,0,0,0,0,0,0
Hogan bob,2,0,0,0,2,2
Imp0st0r 882,0,0,0,0,0,0
jungle 01,2,0,0,0,2,2
Jvillafuerte,0,0,0,0,0,0
kim jennie06,0,0,0,0,0,0
LOBO SERVERO,0,0,0,0,0,0
lord dan49,0,0,0,0,0,0
LordSerged,0,0,0,0,0,0
MaRk 25,0,0,0,0,0,0
Mmark,0,0,0,0,0,0
SoloGozalo,0,0,0,0,0,0
vaspin,0,0,0,0,0,0
Chuki 03,0,0,0,0,0,0
J Vip,0,0,0,0,0,0
Annderszonn,0,0,0,0,0,0
MONSTER 100k,9,0,0,0,9,9
Goku | Ultra,0,0,0,0,0,0
adolfo22,0,0,0,0,0,0
66 quetoi 66,0,0,0,0,0,0
66quetoi66,1,2,0,0,3,9
agus alaimo,0,1,0,0,1,4
Asap Priya,0,0,0,0,0,0
1Tom Holland,0,0,0,0,0,0
2Tio ben,0,0,0,0,0,0
G HOST R1DER,1,1,2,4,8,293
mau mau 02,6,0,0,0,6,6
Thong dubai,0,0,0,0,0,0
cris SL,1,0,0,0,1,1
61odin,5,0,0,0,5,5
66que toi,2,0,0,0,2,2
DirEnGrey69,0,0,0,0,0,0
HAESP4RTANOS,1,1,0,0,2,5
Hijo de Cain,5,0,0,0,5,5
Jalejo,8,0,0,0,8,8
JVip 1,11,1,0,0,12,15
JVip 2,0,0,0,0,0,0
JVip 3,1,0,0,0,1,1
12Leviatan94,2,0,0,0,2,2
Ako Tamaki,0,0,0,0,0,0
Ghost Fight5,0,0,0,0,0,0
Gogeta29,2,0,0,0,2,2
Goku 29,0,0,0,0,0,0
Hannabi9,0,0,0,0,0,0
huybao dubai,0,0,0,0,0,0
isi Predator,3,0,0,0,3,3
Itachi29,0,0,0,0,0,0
KING HATIM,0,0,0,0,0,0
LH FurryXia,0,0,0,0,0,0
lord lemang,0,2,0,0,2,8
Ma Ru Ch An,0,0,0,0,0,0
MarisolXD123,2,0,0,0,2,2
duc ro,0,0,0,0,0,0
Nephilim95,5,0,0,0,5,5
O N I R I A,0,1,0,0,1,4
POTTER31,0,0,0,0,0,0
MilesMorales,0,0,0,0,0,0
Realismailuh,0,0,0,0,0,0
salvador8i,0,0,0,0,0,0
sheriffking,1,0,0,0,1,1
Stone Farm,0,0,0,0,0,0
thongdubai2,5,1,0,0,6,9
Usman safdar,3,0,0,0,3,3
Wendy 29,1,0,0,0,1,1
