Nombre,N1,N2,N3,N4,Total,Puntaje
LordKanino19,1.0,6.0,0.0,0.0,7,25
Vainilla,2.0,2.0,0.0,0.0,4,10
R P D,0.0,0.0,0.0,0.0,0,0
Jocs4,0.0,3.0,0.0,0.0,3,12
Juan D98,0.0,4.0,2.0,0.0,6,48
61JC,,,,,3,6
Arkeus11,8.0,0.0,0.0,0.0,8,8
Dark Falkor,8.0,1.0,0.0,0.0,9,12
deathiro,0.0,0.0,0.0,0.0,0,0
Duque Puf,8.0,0.0,0.0,0.0,8,8
Conde Puf,0.0,0.0,0.0,0.0,0,0
Marques Puf,0.0,0.0,0.0,0.0,0,0
El Templari0,9.0,0.0,0.0,0.0,9,9
FoodFarmer12,0.0,0.0,0.0,0.0,0,0
HaRaKirY,0.0,0.0,0.0,0.0,0,0
hirowiro,0.0,0.0,0.0,0.0,0,0
HusKerss,0.0,0.0,0.0,0.0,0,0
Joselito170,7.0,0.0,0.0,0.0,7,7
L O N E Y 5,0.0,0.0,0.0,0.0,0,0
MoRRiGaNC,0.0,1.0,0.0,0.0,1,4
Nathy7,,,,,11,11
Rpd2,0.0,5.0,1.0,0.0,6,36
srce1,1.0,0.0,0.0,0.0,1,1
theriver2007,,,,,11,17
Vil Mentira,5.0,3.0,0.0,0.0,8,17
wirito,0.0,0.0,0.0,0.0,0,0
001padre,0.0,0.0,0.0,0.0,0,0
el poro 123,7.0,0.0,0.0,0.0,7,7
KingAlexx27,3.0,1.0,0.0,0.0,4,7
Leandro2505,0.0,0.0,0.0,0.0,0,0
leito ortiz,5.0,1.0,0.0,0.0,6,9
leonardo02,0.0,1.0,0.0,0.0,1,4
melonidas 1,6.0,0.0,0.0,0.0,6,6
MiguelDH,0.0,0.0,0.0,0.0,0,0
WOLFBYCK9812,2.0,0.0,0.0,0.0,2,2
001padre2,0.0,0.0,0.0,0.0,0,0
ADADI,2.0,0.0,0.0,0.0,2,2
adolfo22,0.0,0.0,0.0,0.0,0,0
Anabell 21,4.0,3.0,0.0,0.0,7,16
auxiliar 1,2.0,0.0,0.0,0.0,2,2
Eraclium,0.0,0.0,0.0,0.0,0,0
Freya2111,0.0,0.0,0.0,0.0,0,0
GadrielS,0.0,0.0,0.0,0.0,0,0
GalaicusGZ,1.0,0.0,0.0,0.0,1,1
Goku 32,,,,,1,1
Hogan bob,0.0,0.0,0.0,0.0,0,0
Imp0st0r 882,3.0,2.0,0.0,0.0,5,11
jos88,0.0,0.0,0.0,0.0,0,0
jungle 01,0.0,0.0,0.0,0.0,0,0
Jvillafuerte,0.0,0.0,0.0,0.0,0,0
kim jennie06,0.0,0.0,0.0,0.0,0,0
LOBO SERVERO,1.0,2.0,0.0,0.0,3,9
lord dan49,0.0,0.0,0.0,0.0,0,0
LordSerged,3.0,0.0,0.0,0.0,3,3
MarisolXD123,0.0,0.0,0.0,0.0,0,0
MaRk 25,1.0,0.0,0.0,0.0,1,1
Mmark,3.0,1.0,0.0,0.0,4,7
Roohtakr,0.0,0.0,0.0,0.0,0,0
SoloGozalo,0.0,0.0,0.0,0.0,0,0
vaspin,9.0,0.0,0.0,0.0,9,9
