Nombre,N1,N2,N3,N4,Total,Puntaje
LordKanino19,18,3,0,0,21,30
Vainilla,26,1,1,0,28,46
R P D,1,8,1,1,11,113
Jocs4,2,2,0,0,4,10
Juan D98,1,1,0,2,4,133
61JC,7,1,0,0,8,11
Arkeus11,14,0,0,0,14,14
Dark Falkor,8,0,0,0,8,8
deathiro,0,2,0,0,2,8
Duque Puf,4,0,0,0,4,4
Conde Puf,0,0,0,0,0,0
Marques Puf,0,0,0,0,0,0
El Templari0,10,0,0,0,10,10
FoodFarmer12,0,0,0,0,0,0
HaRaKirY,0,0,0,0,0,0
hirowiro,0,2,0,0,2,8
HusKerss,7,4,2,0,13,55
Joselito170,6,0,0,0,6,6
L O N E Y 5,0,0,0,0,0,0
MoRRiGaNC,1,6,2,0,9,57
Nathy7,6,0,0,0,6,6
ErrePeDe II,0,0,0,0,0,0
srce1,3,0,0,0,3,3
theriver2007,16,1,0,0,17,20
Vil Mentira,0,0,0,0,0,0
Un Weon XD,2,4,1,0,7,34
RataD2Patas,0,0,0,0,0,0
wirito,0,0,0,0,0,0
001padre,0,1,0,0,1,4
el poro 123,4,0,0,0,4,4
KingAlexx27,10,1,0,0,11,14
Leandro2505,0,0,0,0,0,0
leito ortiz,4,1,0,0,5,8
leonardo02,3,0,0,0,3,3
melonidas 1,6,0,0,0,6,6
MiguelDH,1,0,0,0,1,1
WOLFBYCK9812,4,0,0,0,4,4
001padre2,2,0,0,0,2,2
ADADI,2,0,0,0,2,2
Anabell 21,6,2,0,0,8,14
auxiliar 1,4,0,0,0,4,4
Eraclium,6,1,0,0,7,10
Freya2111,2,0,0,0,2,2
GadrielS,5,0,0,0,5,5
GalaicusGZ,5,0,0,0,5,5
Goku 32,1,0,0,0,1,1
Hogan bob,3,0,0,0,3,3
Imp0st0r 882,3,3,0,0,6,15
jungle 01,0,0,0,0,0,0
Jvillafuerte,6,2,0,0,8,14
kim jennie06,0,0,0,0,0,0
LOBO SERVERO,0,2,0,0,2,8
lord dan49,0,0,0,0,0,0
LordSerged,9,0,0,0,9,9
MaRk 25,1,0,0,0,1,1
Mmark,1,0,0,0,1,1
SoloGozalo,1,0,0,0,1,1
vaspin,10,0,0,0,10,10
Chuki 03,4,0,0,0,4,4
J Vip,1,1,0,0,2,5
WELL J,0,0,0,0,0,0
