Nombre,N1,N2,N3,N4,Puntaje
diofanto,7,1,0,0,9
jocs,8,0,0,0,8
sternercrono,1,0,0,0,1
xacobeo,5,0,0,0,5
theriver,2,0,0,0,2
elnegrovnz,2,1,0,0,4
elver,3,0,0,0,3
nversachi,6,2,0,0,10
zlonburn,1,0,0,0,1
casss,3,0,0,0,3
nathy,3,0,0,0,3
zlondies,1,0,0,0,1
juand,1,6,6,1,173
eraclium,2,0,0,0,2
condepuf,2,0,0,0,2
joselito,1,0,0,0,1
rpd,0,1,0,0,2
eltemplari,2,0,0,0,2
padre,4,0,0,0,4
lordkanino,8,6,1,1,100
gadriels,2,0,0,0,2
dyk,6,0,0,0,6
wirito,5,0,0,0,5
hirowiro,7,0,0,0,7
deathiro,0,2,0,0,4
ziondies,1,0,0,0,1
zionhated,1,0,0,0,1
zionburn,1,0,0,0,1
joserosario,2,0,0,0,2
srcel,2,0,0,0,2
carlosecf,1,0,0,0,1
brmrcelo,6,1,0,0,8
yxxsimbaxxy,3,0,0,0,3
ladybuzzard,1,0,0,0,1
ladykastrel,1,0,0,0,1
sathariel,6,0,0,0,6
versachi,0,1,0,0,2
vainilla,0,0,2,0,32
morriganc,0,2,0,0,4
yeison,1,0,0,0,1
sam,1,0,0,0,1
negrovnz,1,0,0,0,1
