Nombre,N1,N2,N3,N4,Total,Puntaje
Vainilla,2,1,0,0,3,4
Br1Mrcelo,3,4,0,0,7,11
LordKanino19,4,5,1,0,10,30
R P D,0,14,2,0,16,60
212D,1,4,0,0,5,9
SS Versachi,0,0,0,0,0,0
AntiZion,6,0,0,0,6,6
Conde Puf,5,0,0,0,5,5
deathiro,1,4,0,0,5,9
Diofanto,1,2,0,0,3,5
El Templari0,4,0,0,0,4,4
hirowiro,7,0,0,0,7,7
Jocs4,1,3,0,0,4,7
MoRRiGaNC,0,5,2,0,7,42
N4 Versachi,3,5,0,0,8,13
Nathy7,3,0,0,0,3,3
SAM 1101,1,0,0,0,1,1
Sathariel 69,17,1,0,0,18,19
Arkeus11,0,0,0,0,0,0
wirito,6,0,0,0,6,6
001padre,16,0,0,0,16,16
001padre2,3,0,0,0,3,3
DyK12,6,1,0,0,7,8
e1ver,7,0,0,0,7,7
Freya2111,2,0,0,0,2,2
GadrielS,4,0,0,0,4,4
HaRaKirY,0,0,0,0,0,0
Jesus1478 3,1,0,0,0,1,1
Jesus1479,1,0,0,0,1,1
Joselito170,2,0,0,0,2,2
JuanD98,0,2,6,0,8,100
KingAlexx27,13,0,0,0,13,13
srce1,2,0,0,0,2,2
theriver2007,9,0,0,0,9,9
Xacobeo21,6,0,0,0,6,6
YxXSimbaxXY,5,0,0,0,5,5
ADADI,2,0,0,0,2,2
ca0sss,3,0,0,0,3,3
carlos ecf,0,0,0,0,0,0
Eraclium,3,1,0,0,4,5
jose rosario,4,2,0,0,6,8
MiguelDH,2,0,0,0,2,2
Mmark,1,0,0,0,1,1
XxCrisbelyxX,0,0,0,0,0,0
yeison 27,2,0,0,0,2,2
Kikiri43,0,0,0,0,0,0
CL Giao Giao,0,0,0,0,0,0
akiles bailo,0,0,0,0,0,0
