Nombre,N1,N2,N3,N4,Puntaje
brmrcelo,2,0,0,0,2
morriganc,0,3,1,0,22
padre,9,0,0,0,9
eltemplari,4,0,0,0,4
diofanto,1,2,0,0,5
kingalexx,6,0,0,0,6
xacobeo,9,0,0,0,9
deathiro,0,3,0,0,6
sathariel,11,0,0,0,11
nversachi,5,1,0,0,7
eraclium,2,0,0,0,2
casss,1,0,0,0,1
ziondies,3,1,0,0,5
nathy,3,0,0,0,3
juand,0,3,10,0,166
theriver,7,0,0,0,7
elver,3,0,0,0,3
srcel,2,0,0,0,2
rpd,0,6,1,0,28
condepuf,4,0,0,0,4
lordkanino,1,3,1,0,23
joselito,5,1,0,0,7
vainilla,4,1,0,0,6
adadi,1,0,0,0,1
jocs,6,2,0,0,10
jesus,2,0,0,0,2
mmark,3,0,0,0,3
wirito,2,1,0,0,4
sternercrono,1,0,0,0,1
negrovnz,2,0,0,0,2
ladybuzzard,1,0,0,0,1
joserosario,3,0,0,0,3
sam,1,1,0,0,3
hirowiro,1,0,0,0,1
zionhated,2,0,0,0,2
versachi,0,3,0,0,6
zionburn,1,0,0,0,1
yxxsimbaxxy,1,0,0,0,1
dyk,2,0,0,0,2
elnegrovnz,1,0,0,0,1
yeison,1,0,0,0,1
gadriels,3,0,0,0,3
