Nombre,N1,N2,N3,Puntaje
 gadriels,2,0,0,2
 mmark,1,0,0,1
 lordkanino19,10,2,1,30
 kingalexx27,6,0,0,6
 zionburn,1,0,0,1
 vainilla,3,1,0,5
 srcel,2,0,0,2
 theriver2007,2,0,0,2
 vil mentira,6,0,0,6
 adadi,1,0,0,1
 br1mrcelo,5,0,0,5
 rp d,1,0,0,1
 vizconde puf,1,0,0,1
 ghost011,2,0,0,2
 vd versachi,1,0,0,1
 jocs4,4,0,0,4
 kinichi,1,0,0,1
 eraclium,3,0,0,3
 nathy7,2,1,0,4
 eracllum,1,0,0,1
 xacobeo21,1,0,0,1
 dyk12,3,0,0,3
 deathiro,0,1,0,2
 sternercrons,0,1,0,2
 001padre,1,0,0,1
 jesus1478 3,1,0,0,1
 elver,3,0,0,3
 sathariel 69,3,0,0,3
 sam 1101,1,0,0,1
 claudilal,2,5,0,12
 n4 versachi,2,1,0,4
 juan d98,0,1,1,18
 ca0sss,1,0,0,1
 bri1mrcelo,0,1,0,2
 jose rosario,1,0,0,1
 ziondies,1,0,0,1
 zionhated,1,0,0,1
