Nombre,N1,N2,N3,N4,Total,Puntaje
diofanto,9,1,0,0,10,11
nathy7,7,0,0,0,7,7
n4versachi,0,2,0,0,2,4
ziondies,2,0,0,0,2,2
eraclium,1,0,0,0,1,1
jesus14783,1,0,0,0,1,1
br1mrcelo,8,1,0,0,9,10
bri1mrcelo,1,0,0,0,1,1
theriver2007,6,0,0,0,6,6
hirowiro,6,0,0,0,6,6
wirito,7,0,0,0,7,7
deathiro,0,3,0,0,3,6
001padre,7,0,0,0,7,7
jocs4,7,1,0,0,8,9
juand98,1,0,3,0,4,49
rpd,0,3,0,0,3,6
eltemplari0,3,0,0,0,3,3
dyk12,9,0,0,0,9,9
sathariel69,13,0,0,0,13,13
morriganc,0,1,0,0,1,2
212d,8,0,0,0,8,8
yeison27,3,0,0,0,3,3
lordkanino19,20,12,0,0,32,44
srcel,4,0,0,0,4,4
mmark,3,0,0,0,3,3
gadriels,5,0,0,0,5,5
elver,2,0,0,0,2,2
2120,0,1,0,0,1,2
sam1101,1,0,0,0,1,1
yxxsimbaxxy,2,0,0,0,2,2
condepuf,2,0,0,0,2,2
001padre2,3,0,0,0,3,3
ca0sss,2,0,0,0,2,2
zlondies,1,0,0,0,1,1
zionburn,1,0,0,0,1,1
zionhated,2,0,0,0,2,2
joselito170,1,0,0,0,1,1
jesus1479,2,0,0,0,2,2
migueldh,1,0,0,0,1,1
carlosecf,1,0,0,0,1,1
