Nombre,N1,N2,N3,N4,Total,Puntaje
joserosario,4,0,0,0,4,4
srcel,4,0,0,0,4,4
gadriels,5,0,0,0,5,5
n4versachi,3,4,0,0,7,11
rpd,0,1,2,0,3,34
eraclium,2,0,0,0,2,2
xacobeo21,6,0,0,0,6,6
theriver2007,7,0,0,0,7,7
ziondies,2,0,0,0,2,2
joselito170,2,0,0,0,2,2
zionhated,1,0,0,0,1,1
migueldh,1,0,0,0,1,1
adadi,2,0,0,0,2,2
jocs4,3,2,0,0,5,7
yxxsimbaxxy,5,0,0,0,5,5
condepuf,3,0,0,0,3,3
yeison27,4,0,0,0,4,4
morriganc,2,4,1,0,7,26
dyk12,14,0,0,0,14,14
lordkanino19,4,7,0,0,11,18
kingalexx27,16,0,0,0,16,16
nathy7,4,0,0,0,4,4
jesus14783,1,0,0,0,1,1
sam1101,3,0,0,0,3,3
212d,4,2,0,0,6,8
juand98,1,0,8,0,9,129
sathariel69,17,0,0,0,17,17
elver,6,0,0,0,6,6
deathiro,0,3,1,0,4,22
hirowiro,6,0,0,0,6,6
ca0sss,4,0,0,0,4,4
wirito,4,1,0,0,5,6
carlosecf,2,0,0,0,2,2
eltemplari0,2,0,0,0,2,2
2120,0,1,0,0,1,2
diofanto,12,1,0,0,13,14
001padre,6,0,0,0,6,6
br1mrcelo,8,2,0,0,10,12
freya2111,3,0,0,0,3,3
vainilla,4,1,0,0,5,6
antizion,2,0,0,0,2,2
