Nombre,N1,N2,N3,N4,Puntaje
brmrcelo,7,1,0,0,9
dyk,4,0,0,0,4
padre,5,0,0,0,5
juand,4,8,0,0,20
theriver,6,0,0,0,6
diofanto,5,2,0,0,9
vainilla,7,0,0,0,7
lordkanino,0,10,1,2,164
elnegrovnz,2,0,0,0,2
nversachi,3,1,0,0,5
condepuf,7,0,0,0,7
eracllum,1,0,0,0,1
jocs,6,0,0,0,6
negrovnz,1,0,0,0,1
srcel,1,0,0,0,1
eltemplari,3,0,0,0,3
ziondies,2,0,0,0,2
zionhated,2,0,0,0,2
zionburn,2,0,0,0,2
yeison,1,0,0,0,1
joselito,3,0,0,0,3
deathiro,0,4,0,0,8
nathy,3,0,0,0,3
mmark,1,0,0,0,1
yxxsimbaxxy,4,0,0,0,4
sathariel,4,0,0,0,4
wirito,6,0,0,0,6
hirowiro,6,0,0,0,6
elver,6,0,0,0,6
rpd,2,2,0,0,6
xacobeo,4,0,0,0,4
casss,2,0,0,0,2
carlosecf,1,0,0,0,1
morriganc,0,1,0,0,2
ladybuzzard,1,0,0,0,1
freya,1,0,0,0,1
gadriels,4,0,0,0,4
adadi,1,0,0,0,1
joserosario,1,0,0,0,1
yelson,1,0,0,0,1
