Nombre,N1,N2,N3,N4,Puntaje
lordkanino,12,4,3,2,128
theriver,10,0,0,0,10
xacobeo,4,0,0,0,4
rpd,3,2,0,0,7
casss,3,0,0,0,3
hirowiro,1,1,0,0,3
elver,3,0,0,0,3
wirito,5,0,0,0,5
sathariel,13,0,0,0,11
diofanto,6,1,0,0,8
negrovnz,1,0,0,0,1
sternercrono,2,0,0,0,2
sam,2,0,0,0,2
brmrcelo,13,0,0,0,13
ziondies,4,0,0,0,4
zlonhated,2,0,0,0,2
zionburn,2,0,0,0,2
vainilla,1,2,0,0,5
deathiro,0,4,0,0,8
brimrcelo,3,0,0,0,3
nathy,11,0,0,0,11
juand,0,2,4,1,130
eracllum,2,0,0,0,2
gadriels,8,0,0,0,6
dyk,6,1,0,0,8
joserosario,1,0,0,0,1
condepuf,4,0,0,0,4
joselito,2,0,0,0,2
eltemplari,5,0,0,0,5
yxxsimbaxxy,5,0,0,0,5
morriganc,1,6,2,0,43
srcel,2,0,0,0,2
yeison,2,0,0,0,1
jocs,6,1,0,0,8
gracylu,0,1,0,0,2
nversachi,0,4,0,0,8
mmark,3,0,0,0,3
d,9,0,0,0,9
ladybuzzard,1,0,0,0,1
padre,2,0,0,0,2
eraclium,1,0,0,0,1
adadi,1,0,0,0,1
jesus14783,1,0,0,0,1
