Nombre,N1,N2,N3,N4,Puntaje
elver,7,0,0,0,7
carolus,6,1,0,0,8
wirito,5,0,0,0,5
hirowiro,5,0,0,0,5
xacobeo,4,0,0,0,4
kingbetio,3,0,0,0,3
joserosario,6,0,0,0,6
nathy,5,0,0,0,5
sam,2,0,0,0,2
oscarasis,5,0,0,0,5
lordkanino,0,4,2,0,40
sathariel,7,1,0,0,9
nversachi,8,2,0,0,12
elnegrovnz,1,0,0,0,1
padre,5,1,0,0,7
kingalexx,0,1,0,0,2
gadriels,7,0,0,0,7
diofanto,16,1,0,0,18
theriver,7,0,0,0,7
rpd,1,7,8,0,143
vizcondepuf,6,0,0,0,6
joselito,2,0,0,0,2
casss,4,0,0,0,4
vainilla,1,1,0,0,3
freya,3,0,0,0,3
eltemplari,2,0,0,0,2
dyk,8,0,0,0,8
srcel,9,0,0,0,9
jocs,0,1,0,0,2
ziondies,4,0,0,0,4
zlondies,1,0,0,0,1
zionhated,2,0,0,0,2
zlonburn,1,0,0,0,1
zionburn,2,0,0,0,2
eraclium,1,0,0,0,1
juand,5,0,1,0,21
versachi,4,0,0,0,4
zlonhated,1,0,0,0,1
mmark,2,0,0,0,2
brmrcelo,3,0,0,0,3
brimrcelo,2,0,0,0,2
gracylu,1,0,0,0,1
morriganc,1,1,0,0,3
kingbeti,1,0,0,0,1
deathiro,0,2,0,0,4
