Nombre,N1,N2,N3,N4,Puntaje
diofanto,14,1,0,0,16
nversachi,12,1,0,0,14
jocs,11,1,0,0,13
sathariel,7,0,0,0,7
padre,10,0,0,0,10
morriganc,1,1,0,0,3
jesus,3,0,0,0,3
gadriels,4,0,0,0,4
vainilla,5,0,0,0,5
kingalexx,9,0,0,0,9
wirito,4,0,0,0,4
mmark,1,0,0,0,1
hirowiro,4,1,0,0,6
rpd,1,6,1,0,29
zionburn,1,0,0,0,1
zlonhated,1,0,0,0,1
zlondies,1,0,0,0,1
joserosario,2,0,0,0,2
elver,4,0,0,0,4
lordkanino,15,4,1,0,39
brmrcelo,2,2,0,0,6
theriver,7,0,0,0,7
casss,3,0,0,0,3
dyk,5,0,0,0,5
joselito,2,0,0,0,2
versachi,10,0,0,0,10
negrovnz,3,0,0,0,3
eltemplari,3,0,0,0,3
xacobeo,7,0,0,0,7
srcel,3,0,0,0,3
nathy,4,0,0,0,4
deathiro,0,1,0,0,2
juand,0,2,1,0,20
vizcondepuf,3,0,0,0,3
elnegrovnz,3,0,0,0,3
carlosecf,1,0,0,0,1
adadi,1,0,0,0,1
zlonburn,1,0,0,0,1
sam,1,0,0,0,1
zionhated,1,0,0,0,1
ziondies,1,0,0,0,1
yxxsimbaxxy,2,0,0,0,2
freya,1,0,0,0,1
condepuf,1,0,0,0,1
xxaztecaxx,1,0,0,0,1
xxaztecaxxl,1,0,0,0,1
