Nombre,N1,N2,N3,N4,Puntaje
brmrcelo,6,0,0,0,6
vainilla,1,4,0,0,9
oscarasis,9,0,0,0,9
srcel,3,0,0,0,3
lordkanino,4,3,0,0,10
joserosario,5,0,0,0,5
joselito,2,0,0,0,2
rpd,0,2,1,0,20
eltemplari,2,0,0,0,2
kingalexx,8,0,0,0,8
morriganc,0,3,0,0,6
theriver,5,0,0,0,5
dyk,4,0,0,0,4
jocs,11,0,0,0,11
ziondies,5,0,0,0,5
zionburn,3,0,0,0,3
mmark,3,0,0,0,3
hirowiro,3,0,0,0,3
wirito,3,0,0,0,3
gracylu,1,0,0,0,1
brimrcelo,1,0,1,0,17
padre,7,0,0,0,7
juand,1,1,0,0,3
nversachi,4,1,0,0,6
jesus,2,0,0,0,2
nathy,4,0,0,0,4
sathariel,6,0,0,0,6
casss,5,0,0,0,5
gadriels,4,0,0,0,4
elver,4,0,0,0,4
carolus,1,1,0,0,3
zionhated,1,0,0,0,1
vizcondepuf,3,0,0,0,3
negrovnz,1,0,0,0,1
xacobeo,3,0,0,0,3
versachi,7,0,0,0,7
zlonhated,1,0,0,0,1
diofanto,7,0,0,0,7
deathiro,0,1,0,0,2
elnegrovnz,1,0,0,0,1
freya,1,0,0,0,1
