Nombre,N1,N2,N3,N4,Puntaje
negrovnz,2,0,0,0,2
gadriels,2,0,0,0,2
brmrcelo,14,0,0,0,14
sathariel,9,0,0,0,9
nversachi,8,0,0,0,8
casss,2,0,0,0,2
sam,2,0,0,0,2
theriver,6,0,0,0,6
elver,5,0,0,0,5
juand,0,2,3,0,52
eracllum,1,0,0,0,1
vainilla,6,2,0,0,10
lordkanino,8,6,3,0,68
diofanto,1,3,0,0,7
zionhated,2,0,0,0,2
zionburn,2,0,0,0,2
condepuf,2,1,0,0,4
eltemplari,2,0,0,0,2
dyk,6,0,0,0,6
joselito,2,0,0,0,2
mmark,4,0,0,0,4
srcel,3,0,0,0,3
jocs,0,2,0,0,4
ziondies,3,0,0,0,3
padre,5,0,0,0,5
deathiro,0,2,0,0,4
nathy,4,0,0,0,4
jesus,1,0,0,0,1
yxxsimbaxxy,3,0,0,0,3
ladybuzzard,1,0,0,0,1
eraclium,2,0,0,0,2
joserosario,4,1,0,0,6
versachi,0,1,0,0,2
rpd,0,1,0,0,2
elnegrovnz,1,0,0,0,1
adadi,2,0,0,0,2
xacobeo,1,0,0,0,1
hirowiro,0,1,0,0,2
morriganc,2,2,0,0,6
