Nombre,N1,N2,N3,N4,Puntaje
juand,2,3,5,0,88
casss,5,0,0,0,5
kingalexx,0,1,0,0,2
lordkanino,10,5,1,0,36
joserosario,3,0,0,0,3
wirito,6,0,0,0,6
deathiro,1,3,0,0,7
hirowiro,8,0,0,0,8
zionhated,1,0,0,0,1
zionburn,3,0,0,0,3
gracylu,3,0,0,0,3
sathariel,7,0,0,0,7
jocs,7,1,0,0,9
yeison,1,0,0,0,1
elver,4,0,0,0,4
gadriels,4,0,0,0,4
brmrcelo,3,2,0,0,7
xxaztecaxx,1,0,0,0,1
diofanto,3,3,0,0,9
carlosecf,2,0,0,0,2
eltemplari,2,0,0,0,2
nathy,4,0,0,0,4
rpd,0,2,1,0,20
condepuf,3,0,0,0,3
brimrcelo,0,1,0,0,2
eracllum,1,0,0,0,1
yxxsimbaxxy,2,0,0,0,2
adadi,1,0,0,0,1
zlonhated,2,0,0,0,2
vainilla,1,0,0,0,1
ziondies,5,0,0,0,5
joselito,2,0,0,0,2
sam,1,0,0,0,1
xacobeo,6,0,0,0,6
theriver,4,0,0,0,4
srcel,2,0,0,0,2
eraclium,1,0,0,0,1
morriganc,2,2,0,0,6
dyk,5,0,0,0,5
nversachi,2,1,0,0,4
negrovnz,2,0,0,0,2
padre,0,1,0,0,2
versachi,0,1,0,0,2
mmark,1,0,0,0,1
