Nombre,N1,N2,N3,N4,Puntaje
juand98,9,1,6,1,171
carlosecf,2,0,0,0,2
adadi,2,0,0,0,2
lordkanino19,6,11,4,0,92
mmark,4,0,0,0,4
srcel,14,0,0,0,14
diofanto,6,2,0,0,10
sam1101,3,0,0,0,3
gadriels,4,0,0,0,4
deathiro,1,1,1,0,19
wirito,2,1,0,0,4
joserosario,1,1,0,0,3
hirowiro,3,0,0,0,3
n4versachi,3,3,0,0,9
migueldh,1,0,0,0,1
rpd,0,2,0,0,4
elver,5,0,0,0,5
eltemplari0,4,0,0,0,4
001padre2,2,0,0,0,2
nathy7,6,0,0,0,6
bri1mrcelo,1,0,0,0,1
jesus1479,1,0,0,0,1
001padre,1,0,0,0,1
sathariel69,16,0,0,0,16
br1mrcelo,13,0,0,0,13
theriver2007,5,0,0,0,5
ziondies,5,0,0,0,5
xacobeo21,6,0,0,0,6
yxxsimbaxxy,6,0,0,0,6
eraclium,3,0,0,0,3
condepuf,7,0,0,0,7
dyk12,15,0,0,0,15
vainilla,3,0,0,0,3
joselito170,3,0,0,0,3
jocs4,0,2,0,0,4
zlondies,1,0,0,0,1
ca0sss,4,0,0,0,4
zionhated,1,0,0,0,1
morriganc,2,0,1,0,18
zionburn,2,0,0,0,2
xxcrisbelyxx,3,0,0,0,3
jesus14783,1,0,0,0,1
212d,1,1,0,0,3
