Nombre,N1,N2,N3,N4,Puntaje
diofanto,3,2,0,0,7
jocs,6,0,0,0,6
juand,0,2,5,0,84
hirowiro,4,0,0,0,4
deathiro,0,3,0,0,6
padre,8,0,0,0,8
casss,3,0,0,0,3
elver,4,0,0,0,4
yelson,1,0,0,0,1
nathy,4,0,0,0,4
zlonburn,1,0,0,0,1
zlonhated,1,0,0,0,1
ziondies,2,0,0,0,2
versachi,0,1,0,0,2
kingalexx,3,1,0,0,5
theriver,3,0,0,0,3
brmrcelo,2,2,0,0,6
rpd,0,1,1,0,18
condepuf,2,0,0,0,2
lordkanino,3,3,1,0,25
joselito,2,0,0,0,2
srcel,1,0,0,0,1
eltemplari,1,0,0,0,1
joserosario,2,0,0,0,2
nversachi,0,2,0,0,4
dyk,4,1,0,0,6
xacobeo,3,0,0,0,3
zionhated,1,0,0,0,1
yxxsimbaxxy,2,0,0,0,2
xxaztecaxx,1,0,0,0,1
jesus,2,0,0,0,2
wirito,4,0,0,0,4
vainilla,1,1,0,0,3
gracylu,1,0,0,0,1
sathariel,4,0,0,0,4
gadriels,1,0,0,0,1
sam,1,0,0,0,1
negrovnz,1,0,0,0,1
carlosecf,1,0,0,0,1
yeison,1,0,0,0,1
sternercrono,1,0,0,0,1
elnegrovnz,1,0,0,0,1
